id,source,site,description,species,technology,entry_type,single_chain,country,iso_a2,continent,country_approx,lat,lon,ka_young,ka_old,ka_mid,date_citation,pu_count,pu01_heat_treatment,pu02_platform_faceting,pu03_centripetal_shaping,pu04_lateral_shaping,pu05_distal_shaping,pu06_back_shaping,pu07_cresting,pu08_debordante_shaping,pu09_overshot_flaking,pu10_kombewa_flaking,pu11_core_tablet,pu12_abrasion,pu13_trimming_platform_overhang,pu14_hard_hammer_percussion,pu15_support_core_with_hand,pu16_use_of_an_anvil,pu17_core_rotation,pu18_soft_hammer_percussion,pu19_indirect_percussion,pu20_flaking_through_pressure,pu21_hammer_dressing,pu22_invasive_flaking,pu23_ochre_use,pu24_asphalt_use,pu25_retouch,pu26_backing,pu27_notching,pu28_burination,pu29_tanging,pu30_tranchet,pu31_bifacial_retouch,pu32_invasive_retouch,pu33_pressure_flaked_retouch
1,Moore 2003,Georgina River Bridge Site,Camooweal sharktooth method,H. sapiens,Other,Archaeological,Single sequence,Australia,AU,Oceania,0,-19.944796,138.132224,0.001,1,0.5005,Based on earliest evidence of large blades at other sites in region,9,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,Moore 2003,Georgina River Bridge Site,Camooweal standard method,H. sapiens,Other,Archaeological,Single sequence,Australia,AU,Oceania,0,-19.924199,138.10589,0.001,1,0.5005,Based on earliest evidence of large blades at other sites in region,8,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,Moore 2003,Georgina River Bridge Site,All blade techs,H. sapiens,Other,Archaeological,Whole assemblage,Australia,AU,Oceania,0,-19.94402,138.118693,0.001,1,0.5005,Based on earliest evidence of large blades at other sites in region,12,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
4,Barzilai and Goring-Morris 2010,Kfar HaHoresh,Naviform reduction producing blades that are made into amuq points.,H. sapiens,Other,Archaeological,Single sequence,Israel,IL,Asia,0,32.591888,35.275956,11,12.2,11.6,,17,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1
5,Barzilai and Goring-Morris 2010,Kfar HaHoresh,All techniques reporte,H. sapiens,Other,Archaeological,Whole assemblage,Israel,IL,Asia,0,32.714663,35.289691,11,12.2,11.6,,21,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1
6,Stout et al. 2010,EG12,Oldowan pebble cores with rotation.,Unattributed,Oldowan,Archaeological,Single sequence,Ethiopia,ET,Africa,0,11.209208,40.607938,2500,2600,2550.0,Stout et al. 2010,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,Stout et al. 2010,EG12,Oldowan pebble cores without rotation.,Unattributed,Oldowan,Archaeological,Single sequence,Ethiopia,ET,Africa,0,11.114709,40.412068,2500,2600,2550.0,Stout et al. 2010,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,Stout et al. 2010,EG12,All reduction sequences,Unattributed,Oldowan,Archaeological,Whole assemblage,Ethiopia,ET,Africa,0,11.153066,40.649356,2500,2600,2550.0,Stout et al. 2010,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,Hogberg et al. 2011,Hollow Rockshelter,Unifacial Still bay points. Bifacially flaked predominately shaped by freehand hard hammer percussion but in late stages there's retouch to form the tang and some of that retouch is invasive and pressure flaked.,Unattributed,Other,Archaeological,Single sequence,South Africa,ZA,Africa,0,-32.079833,19.085351,72,80,76.0,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1
10,Sorensen 2004,Itinnera,Arctic small tool tradition at Saqqaq. Burins made on little bifaces. hafted. burin spalls taken through pressure.,H. sapiens,Other,Archaeological,Single sequence,Greenland,GL,North America,0,64.282144,-50.792933,3,4.4,3.7,,10,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
